x1,x2,x3,x4,x5,x6
556,164,556,1,1,2
556,186,556,1,1,2
560,129,560,1,1,2
560,216,560,1,1,2
558,165,558,1,1,2
562,106,562,1,1,2
562,130,562,1,1,2
563,179,563,1,1,2
566,1531,566,1,1,2
571,197,571,1,1,2
571,185,571,1,1,2
581,183,581,1,1,2
581,284,581,1,1,2
581,49,581,1,1,2
572,175,572,1,1,2
572,76,572,1,1,2
583,235,583,1,1,2
587,176,587,1,1,2
591,224,591,1,1,2
591,189,591,1,1,2
584,85,584,1,1,2
597,193,597,1,1,2
597,161,597,1,1,2
600,474,600,1,1,2
590,300,590,1,1,2
590,123,590,1,1,2
610,1728,610,1,1,2
611,21,611,1,1,2
611,136,611,1,1,2
609,1613,609,1,1,2
609,1697,609,1,1,2
609,1636,609,1,1,2
608,57,608,1,1,2
608,255,608,1,1,2
608,125,608,1,1,2
618,141,618,1,1,2
618,250,618,1,1,2
602,212,602,1,1,2
595,192,595,1,1,2
596,272,596,1,1,2
598,49,598,1,1,2
608,1500,608,1,1,2
608,1516,608,1,1,2
604,95,604,1,1,2
604,14,604,1,1,2
603,66,603,1,1,2
603,166,603,1,1,2
619,108,619,1,1,2
607,1432,607,1,1,2
607,1472,607,1,1,2
606,157,606,1,1,2
613,928,613,1,1,2
617,1660,617,1,1,2
610,297,610,1,1,2
622,923,622,1,1,2
621,271,621,1,1,2
614,116,614,1,1,2
620,158,620,1,1,2
620,200,620,1,1,2
613,220,613,1,1,2
613,74,613,1,1,2
613,258,613,1,1,2
615,259,615,1,1,2
626,125,626,1,1,2
615,1507,615,1,1,2
616,1620,616,1,1,2
616,1558,616,1,1,2
616,1566,616,1,1,2
631,27,631,1,1,2
625,171,625,1,1,2
625,181,625,1,1,2
624,289,624,1,1,2
627,137,627,1,1,2
627,236,627,1,1,2
632,15,632,1,1,2
645,150,645,1,1,2
640,213,640,1,1,2
640,223,640,1,1,2
641,267,641,1,1,2
641,157,641,1,1,2
634,62,634,1,1,2
655,203,655,1,1,2
646,115,646,1,1,2
646,138,646,1,1,2
667,47,667,1,1,2
652,191,652,1,1,2
661,162,661,1,1,2
658,148,658,1,1,2
664,59,664,1,1,2
658,135,658,1,1,2
663,199,663,1,1,2
663,210,663,1,1,2
671,205,671,1,1,2
674,183,674,1,1,2
677,175,677,1,1,2
676,1131,676,1,1,2
676,1170,676,1,1,2
676,1100,676,1,1,2
669,204,669,1,1,2
672,40,672,1,1,2
677,1279,677,1,1,2
677,1366,677,1,1,2
678,219,678,1,1,2
676,1204,676,1,1,2
676,1216,676,1,1,2
676,1234,676,1,1,2
676,1251,676,1,1,2
675,1052,675,1,1,2
675,974,675,1,1,2
673,172,673,1,1,2
680,1754,680,1,1,2
685,215,685,1,1,2
685,945,685,1,1,2
680,1786,680,1,1,2
680,1830,680,1,1,2
681,1954,681,1,1,2
681,1872,681,1,1,2
681,1848,681,1,1,2
682,2024,682,1,1,2
682,1987,682,1,1,2
686,108,686,1,1,2
684,140,684,1,1,2
683,2112,683,1,1,2
683,2128,683,1,1,2
683,2043,683,1,1,2
683,2157,683,1,1,2
683,2069,683,1,1,2
689,227,689,1,1,2
694,114,694,1,1,2
694,62,694,1,1,2
695,1380,695,1,1,2
685,4,685,1,1,2
685,106,685,1,1,2
696,921,696,1,1,2
686,1358,686,1,1,2
698,192,698,1,1,2
693,974,693,1,1,2
703,313,703,1,1,2
694,1207,694,1,1,2
694,1216,694,1,1,2
694,1181,694,1,1,2
694,939,694,1,1,2
694,1233,694,1,1,2
694,1251,694,1,1,2
698,1765,698,1,1,2
698,1796,698,1,1,2
697,1566,697,1,1,2
699,1950,699,1,1,2
699,1971,699,1,1,2
699,1978,699,1,1,2
712,27,712,1,1,2
700,2017,700,1,1,2
707,124,707,1,1,2
706,268,706,1,1,2
708,60,708,1,1,2
719,2069,719,1,1,2
716,1334,716,1,1,2
725,25,725,1,1,2
717,184,717,1,1,2
722,90,722,1,1,2
718,938,718,1,1,2
728,129,728,1,1,2
717,1675,717,1,1,2
717,1694,717,1,1,2
721,921,721,1,1,2
731,166,731,1,1,2
734,90,734,1,1,2
728,938,728,1,1,2
729,76,729,1,1,2
742,43,742,1,1,2
738,257,738,1,1,2
737,135,737,1,1,2
740,24,740,1,1,2
740,54,740,1,1,2
756,930,756,1,1,2
749,756,749,1,1,2
747,15,747,1,1,2
752,299,752,1,1,2
754,145,754,1,1,2
755,4,755,1,1,2
750,50,750,1,1,2
756,233,756,1,1,2
758,122,758,1,1,2
761,304,761,1,1,2
761,40,761,1,1,2
771,269,771,1,1,2
771,125,771,1,1,2
768,921,768,1,1,2
766,277,766,1,1,2
767,154,767,1,1,2
769,104,769,1,1,2
773,251,773,1,1,2
773,317,773,1,1,2
803,921,803,1,1,2
790,253,790,1,1,2
792,89,792,1,1,2
790,774,790,1,1,2
787,921,787,1,1,2
797,188,797,1,1,2
789,33,789,1,1,2
811,1369,811,1,1,2
784,179,784,1,1,2
802,274,802,1,1,2
799,165,799,1,1,2
799,28,799,1,1,2
812,2105,812,1,1,2
812,2024,812,1,1,2
813,129,813,1,1,2
801,1079,801,1,1,2
