x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
0.00153090,0.00138105,0.00117022,0.00045636,0.00157162,0.00111242,0.00143112,0.00000000,0.00181749,0.00186804,0.00167940,0.00218024,0.00056245,0.00124085,0.00108218,0.00000000,0.00090704,0.00071378,0.00070068,0.00029963,0.00112959,0.00089353,0.00115944,0.00000000,0.00144529,0.00164714,0.00153095,0.00076014,0.00228516,0.00141500,0.00147531,0.00000000,476.00000000,1702.00000000,1.00000000,2.00000000,476.00000000,0.55669242
0.00108852,0.00080298,0.00076542,0.00039897,0.00157228,0.00130896,0.00162543,0.00000000,0.00220812,0.00198689,0.00197430,0.00246105,0.00065079,0.00160881,0.00142893,0.00000000,0.00104488,0.00105397,0.00113202,0.00057798,0.00210108,0.00161213,0.00165688,0.00000000,0.00220716,0.00153194,0.00156228,0.00044214,0.00200598,0.00129224,0.00116081,0.00000000,723.00000000,1634.00000000,1.00000000,2.00000000,723.00000000,0.56782246
0.00082341,0.00064821,0.00068026,0.00039324,0.00146414,0.00113241,0.00127695,0.00000000,0.00156890,0.00122739,0.00135530,0.00195935,0.00048306,0.00161880,0.00166540,0.00002374,0.00177406,0.00123339,0.00100619,0.00038736,0.00151915,0.00125119,0.00150868,0.00000000,0.00201791,0.00159438,0.00153993,0.00040464,0.00182488,0.00120789,0.00101623,0.00000000,38.00000000,1470.00000000,1.00000000,2.00000000,38.00000000,0.55602008
0.00131038,0.00113507,0.00112201,0.00058378,0.00207774,0.00140171,0.00129082,0.00000000,0.00141329,0.00072066,0.00073996,0.00097289,0.00035387,0.00095234,0.00115823,0.00000000,0.00084276,0.00093025,0.00076282,0.00041472,0.00153825,0.00135921,0.00170653,0.00000000,0.00228481,0.00182363,0.00177948,0.00051357,0.00226931,0.00152455,0.00143478,0.00000000,391.00000000,1660.00000000,1.00000000,2.00000000,391.00000000,0.58997101
0.00267077,0.00217357,0.00191206,0.00080687,0.00269060,0.00178314,0.00207194,0.00000000,0.00250538,0.00253602,0.00245444,0.00330683,0.00083949,0.00215653,0.00197340,0.00000000,0.00206124,0.00173416,0.00167726,0.00073677,0.00243172,0.00148452,0.00145311,0.00000000,0.00160102,0.00179829,0.00201607,0.00097287,0.00345196,0.00241935,0.00246923,0.00000000,400.00000000,1578.00000000,1.00000000,2.00000000,400.00000000,0.51970369
0.00131849,0.00131587,0.00131202,0.00058953,0.00219372,0.00159752,0.00188733,0.00000000,0.00198412,0.00223515,0.00206841,0.00294454,0.00089789,0.00216876,0.00222763,0.00000000,0.00242851,0.00211472,0.00223598,0.00075671,0.00334697,0.00258392,0.00259929,0.00000000,0.00291487,0.00199174,0.00153186,0.00064837,0.00190268,0.00099095,0.00106515,0.00000000,373.00000000,1600.00000000,1.00000000,2.00000000,373.00000000,0.55991215
0.00109911,0.00060536,0.00061646,0.00033754,0.00152901,0.00121820,0.00129815,0.00000000,0.00167143,0.00120499,0.00128675,0.00170376,0.00041519,0.00123560,0.00109033,0.00000000,0.00103871,0.00084033,0.00078430,0.00039095,0.00125932,0.00101051,0.00135682,0.00003179,0.00180939,0.00177130,0.00175465,0.00050244,0.00221356,0.00168933,0.00157322,0.00000000,588.00000000,1852.00000000,1.00000000,2.00000000,588.00000000,0.57561153
0.00115393,0.00070047,0.00078912,0.00028904,0.00166257,0.00143176,0.00172368,0.00000000,0.00198041,0.00176864,0.00152122,0.00198098,0.00054296,0.00114815,0.00120976,0.00000000,0.00145645,0.00163256,0.00162207,0.00068073,0.00220139,0.00134254,0.00124842,0.00000000,0.00133960,0.00135693,0.00136056,0.00066410,0.00213933,0.00133244,0.00119815,0.00000000,56.00000000,1388.00000000,1.00000000,2.00000000,56.00000000,0.53553778
0.00172868,0.00126618,0.00110888,0.00047472,0.00171085,0.00113498,0.00111568,0.00000000,0.00110440,0.00101385,0.00102081,0.00173766,0.00050879,0.00099938,0.00097152,0.00000000,0.00113060,0.00103284,0.00103446,0.00048740,0.00177823,0.00126586,0.00149809,0.00000000,0.00177557,0.00194923,0.00203963,0.00081142,0.00299197,0.00211822,0.00206224,0.00000000,50.00000000,1642.00000000,1.00000000,2.00000000,50.00000000,0.58461314
0.00206603,0.00150361,0.00121432,0.00048188,0.00176006,0.00130422,0.00165304,0.00000000,0.00241899,0.00222161,0.00229832,0.00320527,0.00079988,0.00229960,0.00225611,0.00000000,0.00220595,0.00170526,0.00129983,0.00059144,0.00175536,0.00122673,0.00163716,0.00000000,0.00177363,0.00201551,0.00185588,0.00064573,0.00258047,0.00194807,0.00195952,0.00000000,702.00000000,1586.00000000,1.00000000,2.00000000,702.00000000,0.53885955
0.00275809,0.00311822,0.00324693,0.00116051,0.00461360,0.00331116,0.00292098,0.00000000,0.00384204,0.00254577,0.00253957,0.00340849,0.00096433,0.00225249,0.00244196,0.00000000,0.00258444,0.00281029,0.00310488,0.00120233,0.00497525,0.00397027,0.00401488,0.00000000,0.00442803,0.00332734,0.00285483,0.00123432,0.00384715,0.00238332,0.00272617,0.00000000,1209.00000000,1827.00000000,1.00000000,2.00000000,1209.00000000,0.52475107
0.00094068,0.00116946,0.00154353,0.00073296,0.00289061,0.00226595,0.00233337,0.00000000,0.00295834,0.00231084,0.00224612,0.00298534,0.00085811,0.00182466,0.00167612,0.00000000,0.00151204,0.00135773,0.00129477,0.00045718,0.00154415,0.00104745,0.00107042,0.00000000,0.00140857,0.00145646,0.00148825,0.00063276,0.00204636,0.00122296,0.00104759,0.00000000,609.00000000,1751.00000000,1.00000000,2.00000000,609.00000000,0.59568584
