x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
0.00002922,0.00003763,0.00000935,0.00015339,0.00067468,0.00059760,0.00052041,0.00135219,0.00145681,0.00079739,0.00042880,0.00026187,0.00032574,0.00028499,0.00014604,0.00018468,0.00015488,0.00019352,0.00025093,0.00029536,0.00026861,0.00065953,0.00068056,0.00016746,0.00005692,0.00001630,0.00000000,0.00001755,0.00000975,0.00000388,0.00002666,0.00001886
0.00029220,0.00077784,0.00095599,0.00084128,0.00080283,0.00029630,0.00023074,0.00013730,0.00005293,0.00002387,0.00006318,0.00006938,0.00009444,0.00013208,0.00017124,0.00011731,0.00014204,0.00035388,0.00034641,0.00028808,0.00015968,0.00023911,0.00010541,0.00005223,0.00003515,0.00002151,0.00003514,0.00000000,0.00004058,0.00001974,0.00000971,0.00001933
0.00010740,0.00009474,0.00019872,0.00063904,0.00105536,0.00054522,0.00036669,0.00002940,0.00042000,0.00012835,0.00024228,0.00033067,0.00016252,0.00013000,0.00006239,0.00010251,0.00006756,0.00018635,0.00024034,0.00050500,0.00023422,0.00016963,0.00025730,0.00035242,0.00025282,0.00015383,0.00012060,0.00014624,0.00003974,0.00009960,0.00005707,0.00004461
0.00014391,0.00009045,0.00056025,0.00312568,0.00453419,0.00107321,0.00023851,0.00004433,0.00000900,0.00001985,0.00000000,0.00000729,0.00002631,0.00000000,0.00003305,0.00000000,0.00001178,0.00004789,0.00020761,0.00189939,0.00276674,0.00084156,0.00020759,0.00005153,0.00005201,0.00006885,0.00003885,0.00001694,0.00003030,0.00000998,0.00003097,0.00001820
0.00004120,0.00013219,0.00049206,0.00082718,0.00042469,0.00060566,0.00069659,0.00107707,0.00024174,0.00013534,0.00006620,0.00010937,0.00004121,0.00003588,0.00011873,0.00000000,0.00042068,0.00026996,0.00070119,0.00345518,0.00193436,0.00204171,0.00039230,0.00010143,0.00005173,0.00000000,0.00005709,0.00000000,0.00000000,0.00002905,0.00001800,0.00001918
0.00032339,0.00039649,0.00051515,0.00071045,0.00375728,0.00588628,0.00052484,0.00023111,0.00010638,0.00006535,0.00038215,0.00019964,0.00016950,0.00008716,0.00006169,0.00015270,0.00013072,0.00020151,0.00059855,0.00193909,0.00069497,0.00024942,0.00024147,0.00009740,0.00004501,0.00003446,0.00008158,0.00003643,0.00002527,0.00012032,0.00013328,0.00027774
0.00040265,0.00063210,0.00023240,0.00070300,0.00105587,0.00031816,0.00041346,0.00010515,0.00007537,0.00004657,0.00004292,0.00000000,0.00004108,0.00010079,0.00006225,0.00008410,0.00020161,0.00028583,0.00093261,0.00051760,0.00038705,0.00084608,0.00041949,0.00041638,0.00025224,0.00014647,0.00018148,0.00010847,0.00019846,0.00025910,0.00024764,0.00028706
0.00068802,0.00135104,0.00069091,0.00085915,0.00193008,0.00185569,0.00028912,0.00016341,0.00006687,0.00005754,0.00006390,0.00009382,0.00010887,0.00008173,0.00009079,0.00071888,0.00105055,0.00386249,0.00237890,0.00042917,0.00010809,0.00004136,0.00017552,0.00000452,0.00000000,0.00001077,0.00000000,0.00013555,0.00016222,0.00040014,0.00143938,0.00101138
0.00004992,0.00007773,0.00027110,0.00086829,0.00354238,0.00070502,0.00002585,0.00007568,0.00004511,0.00000000,0.00000000,0.00000085,0.00000000,0.00000000,0.00000000,0.00000000,0.00009447,0.00005990,0.00069930,0.00050206,0.00101696,0.00084571,0.00072939,0.00039686,0.00018361,0.00012909,0.00010514,0.00018680,0.00008740,0.00000000,0.00000117,0.00004858
0.00000000,0.00005096,0.00011863,0.00044616,0.00143848,0.00235600,0.00216153,0.00063037,0.00025088,0.00016469,0.00004182,0.00001762,0.00005973,0.00003769,0.00000000,0.00003114,0.00007079,0.00007597,0.00027692,0.00048223,0.00143561,0.00346775,0.00228544,0.00024571,0.00008026,0.00001043,0.00001484,0.00002986,0.00001943,0.00000000,0.00000000,0.00004018
0.00019707,0.00018491,0.00114992,0.00299908,0.00167135,0.00047942,0.00011391,0.00002063,0.00002195,0.00000000,0.00013738,0.00000000,0.00003329,0.00012484,0.00036623,0.00034664,0.00036179,0.00024663,0.00014676,0.00008185,0.00187626,0.00084742,0.00024695,0.00068985,0.00066820,0.00047084,0.00011293,0.00001089,0.00002044,0.00001147,0.00002096,0.00003864
0.00031657,0.00064859,0.00059333,0.00124374,0.00079560,0.00017985,0.00014980,0.00008669,0.00010552,0.00001524,0.00000000,0.00004962,0.00004269,0.00011799,0.00002439,0.00000000,0.00008262,0.00004049,0.00004458,0.00079470,0.00116126,0.00100742,0.00064313,0.00030132,0.00011606,0.00024621,0.00009174,0.00010104,0.00015490,0.00028672,0.00026457,0.00017170
0.00031281,0.00021306,0.00011849,0.00007804,0.00013659,0.00018053,0.00039363,0.00031975,0.00026955,0.00033876,0.00041466,0.00014186,0.00008783,0.00005750,0.00005890,0.00006995,0.00005688,0.00008418,0.00035900,0.00077630,0.00049482,0.00042067,0.00044262,0.00028359,0.00027722,0.00016408,0.00024363,0.00013093,0.00042615,0.00040298,0.00105205,0.00053143
0.00021175,0.00034687,0.00109745,0.00055890,0.00087944,0.00123340,0.00115477,0.00056161,0.00043773,0.00021967,0.00031524,0.00054246,0.00056402,0.00050486,0.00011125,0.00010524,0.00014411,0.00031554,0.00019882,0.00040916,0.00093195,0.00140676,0.00223832,0.00023146,0.00025345,0.00012683,0.00010133,0.00009957,0.00004096,0.00007037,0.00003991,0.00009141
0.00009866,0.00008649,0.00005906,0.00005602,0.00006746,0.00013790,0.00017933,0.00001623,0.00001129,0.00002661,0.00001003,0.00000000,0.00002598,0.00001043,0.00005093,0.00001377,0.00003658,0.00003862,0.00007644,0.00061758,0.00187188,0.00236243,0.00240674,0.00048235,0.00016642,0.00030775,0.00024548,0.00028337,0.00052100,0.00032721,0.00024801,0.00013318
0.00031486,0.00046595,0.00033107,0.00079787,0.00227453,0.00270545,0.00126562,0.00040069,0.00018686,0.00009941,0.00004958,0.00005585,0.00004237,0.00002670,0.00003157,0.00004345,0.00016608,0.00042279,0.00123792,0.00154204,0.00100604,0.00089629,0.00086797,0.00069629,0.00058400,0.00120662,0.00039686,0.00019973,0.00000000,0.00005912,0.00006492,0.00000000
0.00002656,0.00025026,0.00013424,0.00065701,0.00046380,0.00015107,0.00018340,0.00010188,0.00013376,0.00005816,0.00053157,0.00149685,0.00122789,0.00059361,0.00051276,0.00029675,0.00027071,0.00022613,0.00062537,0.00051538,0.00046727,0.00052868,0.00069748,0.00132913,0.00131270,0.00063276,0.00078855,0.00090776,0.00043705,0.00002197,0.00015211,0.00024816
