x1,x2,x3,x4,x5,x6
138,388,2,1098,2,3
137,404,2,1097,2,3
163,411,2,1123,2,3
164,62,2,1124,2,3
164,313,2,1124,2,3
164,136,2,1124,2,3
172,256,2,1132,2,3
172,183,2,1132,2,3
178,340,2,1138,2,3
178,207,2,1138,2,3
180,219,2,1140,2,3
179,368,2,1139,2,3
181,323,2,1141,2,3
194,146,2,1154,2,3
208,77,2,1168,2,3
197,189,2,1157,2,3
185,407,2,1145,2,3
186,126,2,1146,2,3
186,149,2,1146,2,3
205,348,2,1165,2,3
216,224,2,1176,2,3
192,313,2,1152,2,3
193,347,2,1153,2,3
201,319,2,1161,2,3
200,256,2,1160,2,3
200,144,2,1160,2,3
210,387,2,1170,2,3
223,267,2,1183,2,3
220,212,2,1180,2,3
217,160,2,1177,2,3
212,141,2,1172,2,3
211,223,2,1171,2,3
226,253,2,1186,2,3
245,138,2,1205,2,3
237,306,2,1197,2,3
228,480,2,1188,2,3
234,305,2,1194,2,3
232,226,2,1192,2,3
233,387,2,1193,2,3
241,151,2,1201,2,3
247,116,2,1207,2,3
247,227,2,1207,2,3
249,492,2,1209,2,3
257,312,2,1217,2,3
264,229,2,1224,2,3
262,187,2,1222,2,3
259,265,2,1219,2,3
259,334,2,1219,2,3
260,282,2,1220,2,3
251,228,2,1211,2,3
251,253,2,1211,2,3
251,162,2,1211,2,3
274,434,2,1234,2,3
295,150,2,1255,2,3
266,350,2,1226,2,3
317,112,2,1277,2,3
308,366,2,1268,2,3
293,427,2,1253,2,3
285,348,2,1245,2,3
329,173,2,1289,2,3
321,331,2,1281,2,3
313,337,2,1273,2,3
304,378,2,1264,2,3
279,290,2,1239,2,3
281,264,2,1241,2,3
288,327,2,1248,2,3
288,232,2,1248,2,3
309,377,2,1269,2,3
310,159,2,1270,2,3
301,393,2,1261,2,3
301,107,2,1261,2,3
300,226,2,1260,2,3
290,121,2,1250,2,3
299,293,2,1259,2,3
327,99,2,1287,2,3
328,87,2,1288,2,3
275,331,2,1235,2,3
276,331,2,1236,2,3
277,207,2,1237,2,3
332,125,2,1292,2,3
336,411,2,1296,2,3
338,229,2,1298,2,3
342,263,2,1302,2,3
352,59,2,1312,2,3
359,247,2,1319,2,3
368,193,2,1328,2,3
356,383,2,1316,2,3
360,492,2,1320,2,3
361,271,2,1321,2,3
364,392,2,1324,2,3
374,303,2,1334,2,3
381,187,2,1341,2,3
382,156,2,1342,2,3
382,198,2,1342,2,3
383,88,2,1343,2,3
388,198,2,1348,2,3
388,211,2,1348,2,3
386,49,2,1346,2,3
392,178,2,1352,2,3
415,83,2,1375,2,3
401,49,2,1361,2,3
401,375,2,1361,2,3
399,100,2,1359,2,3
410,212,2,1370,2,3
428,187,2,1388,2,3
412,319,2,1372,2,3
413,144,2,1373,2,3
413,108,2,1373,2,3
407,234,2,1367,2,3
424,358,2,1384,2,3
432,357,2,1392,2,3
418,306,2,1378,2,3
438,152,2,1398,2,3
456,365,2,1416,2,3
467,351,2,1427,2,3
449,354,2,1409,2,3
461,255,2,1421,2,3
458,195,2,1418,2,3
451,439,2,1411,2,3
451,255,2,1411,2,3
476,240,2,1436,2,3
478,349,2,1438,2,3
478,333,2,1438,2,3
478,255,2,1438,2,3
488,241,2,1448,2,3
484,218,2,1444,2,3
487,272,2,1447,2,3
487,468,2,1447,2,3
495,141,2,1455,2,3
500,417,2,1460,2,3
496,68,2,1456,2,3
496,359,2,1456,2,3
497,318,2,1457,2,3
508,67,2,1468,2,3
504,258,2,1464,2,3
510,108,2,1470,2,3
511,226,2,1471,2,3
515,305,2,1475,2,3
517,196,2,1477,2,3
527,209,2,1487,2,3
532,179,2,1492,2,3
543,340,2,1503,2,3
540,285,2,1500,2,3
549,208,2,1509,2,3
541,178,2,1501,2,3
557,247,2,1517,2,3
558,427,2,1518,2,3
559,440,2,1519,2,3
576,252,2,1536,2,3
588,371,2,1548,2,3
589,284,2,1549,2,3
598,155,2,1558,2,3
604,239,2,1564,2,3
593,333,2,1553,2,3
581,453,2,1541,2,3
582,49,2,1542,2,3
582,104,2,1542,2,3
632,64,2,1592,2,3
596,227,2,1556,2,3
596,345,2,1556,2,3
630,300,2,1590,2,3
641,155,2,1601,2,3
614,197,2,1574,2,3
614,385,2,1574,2,3
651,85,2,1611,2,3
634,341,2,1594,2,3
649,272,2,1609,2,3
621,144,2,1581,2,3
622,250,2,1582,2,3
642,146,2,1602,2,3
654,191,2,1614,2,3
666,190,2,1626,2,3
667,363,2,1627,2,3
667,109,2,1627,2,3
678,152,2,1638,2,3
644,175,2,1604,2,3
644,99,2,1604,2,3
643,452,2,1603,2,3
676,256,2,1636,2,3
671,137,2,1631,2,3
671,223,2,1631,2,3
672,334,2,1632,2,3
682,80,2,1642,2,3
681,391,2,1641,2,3
691,91,2,1651,2,3
698,301,2,1658,2,3
696,208,2,1656,2,3
703,277,2,1663,2,3
705,351,2,1665,2,3
700,435,2,1660,2,3
702,55,2,1662,2,3
707,194,2,1667,2,3
711,456,2,1671,2,3
708,330,2,1668,2,3
708,174,2,1668,2,3
709,149,2,1669,2,3
727,49,2,1687,2,3
726,92,2,1686,2,3
731,117,2,1691,2,3
731,422,2,1691,2,3
737,199,2,1697,2,3
739,55,2,1699,2,3
740,220,2,1700,2,3
741,399,2,1701,2,3
747,365,2,1707,2,3
753,310,2,1713,2,3
758,66,2,1718,2,3
769,99,2,1729,2,3
752,101,2,1712,2,3
752,134,2,1712,2,3
761,469,2,1721,2,3
767,168,2,1727,2,3
768,269,2,1728,2,3
768,157,2,1728,2,3
784,492,2,1744,2,3
785,98,2,1745,2,3
780,49,2,1740,2,3
794,255,2,1754,2,3
777,254,2,1737,2,3
789,268,2,1749,2,3
801,131,2,1761,2,3
778,88,2,1738,2,3
796,211,2,1756,2,3
806,96,2,1766,2,3
809,266,2,1769,2,3
829,93,2,1789,2,3
812,366,2,1772,2,3
834,63,2,1794,2,3
815,66,2,1775,2,3
816,218,2,1776,2,3
820,201,2,1780,2,3
830,284,2,1790,2,3
824,184,2,1784,2,3
827,150,2,1787,2,3
867,111,2,1827,2,3
867,54,2,1827,2,3
858,437,2,1818,2,3
846,225,2,1806,2,3
843,272,2,1803,2,3
850,397,2,1810,2,3
864,90,2,1824,2,3
862,332,2,1822,2,3
886,127,2,1846,2,3
877,381,2,1837,2,3
873,415,2,1833,2,3
890,76,2,1850,2,3
892,330,2,1852,2,3
882,212,2,1842,2,3
882,479,2,1842,2,3
882,270,2,1842,2,3
883,195,2,1843,2,3
900,232,2,1860,2,3
897,468,2,1857,2,3
904,311,2,1864,2,3
905,396,2,1865,2,3
906,174,2,1866,2,3
912,268,2,1872,2,3
912,195,2,1872,2,3
912,483,2,1872,2,3
912,446,2,1872,2,3
912,460,2,1872,2,3
51,344,3,1971,2,3
59,416,3,1979,2,3
49,181,3,1969,2,3
49,116,3,1969,2,3
61,275,3,1981,2,3
72,320,3,1992,2,3
75,161,3,1995,2,3
77,396,3,1997,2,3
63,258,3,1983,2,3
63,49,3,1983,2,3
50,322,3,1970,2,3
49,291,3,1969,2,3
49,260,3,1969,2,3
49,388,3,1969,2,3
49,400,3,1969,2,3
51,134,3,1971,2,3
69,137,3,1989,2,3
69,346,3,1989,2,3
86,274,3,2006,2,3
78,336,3,1998,2,3
82,183,3,2002,2,3
83,70,3,2003,2,3
96,184,3,2016,2,3
88,413,3,2008,2,3
88,325,3,2008,2,3
88,163,3,2008,2,3
98,94,3,2018,2,3
98,64,3,2018,2,3
115,131,3,2035,2,3
116,408,3,2036,2,3
120,374,3,2040,2,3
121,175,3,2041,2,3
121,390,3,2041,2,3
125,206,3,2045,2,3
131,258,3,2051,2,3
137,418,3,2057,2,3
137,159,3,2057,2,3
135,343,3,2055,2,3
143,403,3,2063,2,3
143,235,3,2063,2,3
139,306,3,2059,2,3
139,188,3,2059,2,3
141,404,3,2061,2,3
140,388,3,2060,2,3
140,294,3,2060,2,3
148,281,3,2068,2,3
157,389,3,2077,2,3
157,144,3,2077,2,3
156,270,3,2076,2,3
163,139,3,2083,2,3
163,165,3,2083,2,3
164,106,3,2084,2,3
165,411,3,2085,2,3
167,312,3,2087,2,3
173,257,3,2093,2,3
185,183,3,2105,2,3
193,311,3,2113,2,3
195,147,3,2115,2,3
188,408,3,2108,2,3
208,143,3,2128,2,3
182,341,3,2102,2,3
182,220,3,2102,2,3
183,323,3,2103,2,3
182,129,3,2102,2,3
198,448,3,2118,2,3
198,256,3,2118,2,3
202,189,3,2122,2,3
213,387,3,2133,2,3
203,319,3,2123,2,3
204,188,3,2124,2,3
206,77,3,2126,2,3
206,347,3,2126,2,3
220,255,3,2140,2,3
214,224,3,2134,2,3
229,415,3,2149,2,3
239,333,3,2159,2,3
239,153,3,2159,2,3
222,267,3,2142,2,3
211,199,3,2131,2,3
212,142,3,2132,2,3
238,306,3,2158,2,3
229,226,3,2149,2,3
228,253,3,2148,2,3
254,492,3,2174,2,3
263,334,3,2183,2,3
244,253,3,2164,2,3
251,162,3,2171,2,3
236,305,3,2156,2,3
276,206,3,2196,2,3
259,186,3,2179,2,3
261,229,3,2181,2,3
261,312,3,2181,2,3
248,284,3,2168,2,3
248,228,3,2168,2,3
280,264,3,2200,2,3
268,282,3,2188,2,3
257,265,3,2177,2,3
257,114,3,2177,2,3
281,290,3,2201,2,3
288,348,3,2208,2,3
278,192,3,2198,2,3
278,331,3,2198,2,3
277,435,3,2197,2,3
291,327,3,2211,2,3
287,232,3,2207,2,3
288,120,3,2208,2,3
295,427,3,2215,2,3
296,150,3,2216,2,3
297,51,3,2217,2,3
299,226,3,2219,2,3
301,293,3,2221,2,3
307,319,3,2227,2,3
307,378,3,2227,2,3
315,116,3,2235,2,3
312,159,3,2232,2,3
311,377,3,2231,2,3
323,332,3,2243,2,3
326,142,3,2246,2,3
325,91,3,2245,2,3
329,122,3,2249,2,3
333,175,3,2253,2,3
339,410,3,2259,2,3
337,283,3,2257,2,3
344,260,3,2264,2,3
354,89,3,2274,2,3
358,383,3,2278,2,3
359,245,3,2279,2,3
362,271,3,2282,2,3
365,492,3,2285,2,3
367,393,3,2287,2,3
382,50,3,2302,2,3
376,428,3,2296,2,3
375,304,3,2295,2,3
399,100,3,2319,2,3
388,212,3,2308,2,3
390,235,3,2310,2,3
380,89,3,2300,2,3
380,198,3,2300,2,3
379,188,3,2299,2,3
380,156,3,2300,2,3
403,375,3,2323,2,3
407,234,3,2327,2,3
406,362,3,2326,2,3
428,357,3,2348,2,3
410,212,3,2330,2,3
437,152,3,2357,2,3
413,319,3,2333,2,3
415,83,3,2335,2,3
413,144,3,2333,2,3
413,108,3,2333,2,3
426,188,3,2346,2,3
425,320,3,2345,2,3
426,358,3,2346,2,3
418,306,3,2338,2,3
438,227,3,2358,2,3
433,357,3,2353,2,3
450,256,3,2370,2,3
452,354,3,2372,2,3
459,196,3,2379,2,3
456,439,3,2376,2,3
458,365,3,2378,2,3
458,255,3,2378,2,3
468,351,3,2388,2,3
464,428,3,2384,2,3
473,380,3,2393,2,3
467,172,3,2387,2,3
474,241,3,2394,2,3
482,218,3,2402,2,3
479,333,3,2399,2,3
480,349,3,2400,2,3
479,462,3,2399,2,3
485,272,3,2405,2,3
488,241,3,2408,2,3
491,467,3,2411,2,3
494,318,3,2414,2,3
493,140,3,2413,2,3
494,68,3,2414,2,3
498,359,3,2418,2,3
502,417,3,2422,2,3
508,108,3,2428,2,3
504,258,3,2424,2,3
506,67,3,2426,2,3
511,225,3,2431,2,3
516,196,3,2436,2,3
530,73,3,2450,2,3
549,210,3,2469,2,3
533,401,3,2453,2,3
527,254,3,2447,2,3
